Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Cameroon,Eggplants (aubergines),1233.0,2023,338.0,6525.9,0.0,0.0,0.0,0.0,2203.1
Crops and livestock products,Cameroon,Fat of pigs,21511.01,2019,0.0,0.0,1405071.0,0.0,0.0,0.0,3461.3
Crops and livestock products,Cameroon,Fat of pigs,21511.01,2020,0.0,0.0,1452246.0,0.0,0.0,0.0,3378.11
Crops and livestock products,Cameroon,Fat of pigs,21511.01,2021,0.0,0.0,1473252.0,0.0,0.0,0.0,3622.61
Crops and livestock products,Cameroon,Fat of pigs,21511.01,2022,0.0,0.0,1510995.0,0.0,0.0,0.0,3936.64
Crops and livestock products,Cameroon,Fat of pigs,21511.01,2023,0.0,0.0,1478154.0,0.0,0.0,0.0,4027.61
Crops and livestock products,Cameroon,Figs,1315.0,2019,34.0,2826.4,0.0,0.0,0.0,0.0,95.57
Crops and livestock products,Cameroon,Figs,1315.0,2020,33.0,2806.8,0.0,0.0,0.0,0.0,93.59
Crops and livestock products,Cameroon,Figs,1315.0,2021,33.0,2813.4,0.0,0.0,0.0,0.0,94.2
Crops and livestock products,Cameroon,Figs,1315.0,2022,34.0,2815.6,0.0,0.0,0.0,0.0,94.45
Crops and livestock products,Cameroon,Figs,1315.0,2023,33.0,2812.0,0.0,0.0,0.0,0.0,94.08
Crops and livestock products,Cameroon,"Game meat, fresh, chilled or frozen",21170.02,2019,0.0,0.0,0.0,0.0,0.0,0.0,77639.45
Crops and livestock products,Cameroon,"Game meat, fresh, chilled or frozen",21170.02,2020,0.0,0.0,0.0,0.0,0.0,0.0,76462.92
Crops and livestock products,Cameroon,"Game meat, fresh, chilled or frozen",21170.02,2021,0.0,0.0,0.0,0.0,0.0,0.0,77780.5
Crops and livestock products,Cameroon,"Game meat, fresh, chilled or frozen",21170.02,2022,0.0,0.0,0.0,0.0,0.0,0.0,79109.48
Crops and livestock products,Cameroon,"Game meat, fresh, chilled or frozen",21170.02,2023,0.0,0.0,0.0,0.0,0.0,0.0,80451.55
Crops and livestock products,Cameroon,"Ginger, raw",1657.0,2019,5338.0,9561.0,0.0,0.0,0.0,0.0,51039.0
Crops and livestock products,Cameroon,"Ginger, raw",1657.0,2020,5667.0,9781.1,0.0,0.0,0.0,0.0,55428.0
Crops and livestock products,Cameroon,"Ginger, raw",1657.0,2021,5581.0,10022.9,0.0,0.0,0.0,0.0,55933.29
Crops and livestock products,Cameroon,"Ginger, raw",1657.0,2022,5113.0,10219.3,0.0,0.0,0.0,0.0,52253.14
Crops and livestock products,Cameroon,"Ginger, raw",1657.0,2023,4970.0,10415.6,0.0,0.0,0.0,0.0,51763.48
Crops and livestock products,Cameroon,"Goat fat, unrendered",21515.0,2019,0.0,0.0,2291181.0,0.0,0.0,0.0,750.0
Crops and livestock products,Cameroon,"Goat fat, unrendered",21515.0,2020,0.0,0.0,2304321.0,0.0,0.0,0.0,780.0
Crops and livestock products,Cameroon,"Goat fat, unrendered",21515.0,2021,0.0,0.0,2303048.0,0.0,0.0,0.0,805.76
Crops and livestock products,Cameroon,"Goat fat, unrendered",21515.0,2022,0.0,0.0,2296006.0,0.0,0.0,0.0,806.12
Crops and livestock products,Cameroon,"Goat fat, unrendered",21515.0,2023,0.0,0.0,2298824.0,0.0,0.0,0.0,816.25
Crops and livestock products,Cameroon,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",23913.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,4024.08
Crops and livestock products,Cameroon,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",23913.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,5559.0
Crops and livestock products,Cameroon,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",23913.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,5600.0
Crops and livestock products,Cameroon,Groundnut oil,2162.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,63100.0
Crops and livestock products,Cameroon,Groundnut oil,2162.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,65300.0
Crops and livestock products,Cameroon,Groundnut oil,2162.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,65100.0
Crops and livestock products,Cameroon,Groundnut oil,2162.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,63800.0
Crops and livestock products,Cameroon,"Groundnuts, excluding shelled",142.0,2019,539452.0,1345.5,0.0,0.0,0.0,0.0,725825.1
Crops and livestock products,Cameroon,"Groundnuts, excluding shelled",142.0,2020,516904.0,1550.8,0.0,0.0,0.0,0.0,801632.3
Crops and livestock products,Cameroon,"Groundnuts, excluding shelled",142.0,2021,520000.0,1000.0,0.0,0.0,0.0,0.0,520000.0
Crops and livestock products,Cameroon,"Groundnuts, excluding shelled",142.0,2022,530000.0,1000.0,0.0,0.0,0.0,0.0,530000.0
Crops and livestock products,Cameroon,"Groundnuts, excluding shelled",142.0,2023,540000.0,1000.0,0.0,0.0,0.0,0.0,540000.0
Crops and livestock products,Cameroon,"Hazelnuts, in shell",1374.0,2019,145.0,1120.6,0.0,0.0,0.0,0.0,161.97
Crops and livestock products,Cameroon,"Hazelnuts, in shell",1374.0,2020,151.0,1063.4,0.0,0.0,0.0,0.0,160.28
Crops and livestock products,Cameroon,"Hazelnuts, in shell",1374.0,2021,146.0,1099.6,0.0,0.0,0.0,0.0,160.72
Crops and livestock products,Cameroon,"Hazelnuts, in shell",1374.0,2022,147.0,1094.1,0.0,0.0,0.0,0.0,160.99
Crops and livestock products,Cameroon,"Hazelnuts, in shell",1374.0,2023,148.0,1085.5,0.0,0.0,0.0,0.0,160.66
Crops and livestock products,Cameroon,"Hen eggs in shell, fresh",231.0,2019,0.0,70643.0,0.0,11500.0,0.0,0.0,2158749.0
Crops and livestock products,Cameroon,"Hen eggs in shell, fresh",231.0,2020,0.0,69721.0,0.0,13500.0,0.0,0.0,2501139.0
Crops and livestock products,Cameroon,"Hen eggs in shell, fresh",231.0,2021,0.0,69409.0,0.0,13000.0,0.0,0.0,2397692.0
Crops and livestock products,Cameroon,"Hen eggs in shell, fresh",231.0,2022,0.0,69893.0,0.0,12667.0,0.0,0.0,2352526.67
Crops and livestock products,Cameroon,"Hen eggs in shell, fresh",231.0,2023,0.0,69673.0,0.0,13056.0,0.0,0.0,2417119.22
Crops and livestock products,Cameroon,"Horse meat, fresh or chilled",21118.01,2019,0.0,0.0,1865.0,0.0,1014.0,0.0,189.17
Crops and livestock products,Cameroon,"Horse meat, fresh or chilled",21118.01,2020,0.0,0.0,1776.0,0.0,1001.0,0.0,177.74
Crops and livestock products,Cameroon,"Horse meat, fresh or chilled",21118.01,2021,0.0,0.0,1654.0,0.0,1006.0,0.0,166.34
Crops and livestock products,Cameroon,"Horse meat, fresh or chilled",21118.01,2022,0.0,0.0,1532.0,0.0,1042.0,0.0,159.73
Crops and livestock products,Cameroon,"Horse meat, fresh or chilled",21118.01,2023,0.0,0.0,1414.0,0.0,1093.0,0.0,154.61
Crops and livestock products,Cameroon,"Jute, raw or retted",1922.01,2019,273.0,367.7,0.0,0.0,0.0,0.0,100.52
Crops and livestock products,Cameroon,"Jute, raw or retted",1922.01,2020,273.0,368.4,0.0,0.0,0.0,0.0,100.67
Crops and livestock products,Cameroon,"Jute, raw or retted",1922.01,2021,275.0,368.6,0.0,0.0,0.0,0.0,101.37
Crops and livestock products,Cameroon,"Jute, raw or retted",1922.01,2022,274.0,371.7,0.0,0.0,0.0,0.0,101.79
Crops and livestock products,Cameroon,"Jute, raw or retted",1922.01,2023,274.0,373.0,0.0,0.0,0.0,0.0,102.22
Crops and livestock products,Cameroon,Kola nuts,1379.02,2019,105384.0,451.2,0.0,0.0,0.0,0.0,47548.46
Crops and livestock products,Cameroon,Kola nuts,1379.02,2020,106241.0,453.0,0.0,0.0,0.0,0.0,48128.18
Crops and livestock products,Cameroon,Kola nuts,1379.02,2021,107107.0,451.9,0.0,0.0,0.0,0.0,48405.99
Crops and livestock products,Cameroon,Kola nuts,1379.02,2022,107390.0,453.4,0.0,0.0,0.0,0.0,48688.63
Crops and livestock products,Cameroon,Kola nuts,1379.02,2023,107670.0,454.8,0.0,0.0,0.0,0.0,48971.27
Crops and livestock products,Cameroon,Leeks and other alliaceous vegetables,1254.0,2019,67.0,4977.5,0.0,0.0,0.0,0.0,333.49
Crops and livestock products,Cameroon,Leeks and other alliaceous vegetables,1254.0,2020,68.0,5015.7,0.0,0.0,0.0,0.0,341.07
Crops and livestock products,Cameroon,Leeks and other alliaceous vegetables,1254.0,2021,70.0,4991.5,0.0,0.0,0.0,0.0,349.41
Crops and livestock products,Cameroon,Leeks and other alliaceous vegetables,1254.0,2022,72.0,4971.3,0.0,0.0,0.0,0.0,357.93
Crops and livestock products,Cameroon,Leeks and other alliaceous vegetables,1254.0,2023,73.0,5020.0,0.0,0.0,0.0,0.0,366.46
Crops and livestock products,Cameroon,Maize (corn),112.0,2019,1636120.0,1355.2,0.0,0.0,0.0,0.0,2217214.9
Crops and livestock products,Cameroon,Maize (corn),112.0,2020,1169941.0,1784.7,0.0,0.0,0.0,0.0,2087957.1
Crops and livestock products,Cameroon,Maize (corn),112.0,2021,1186000.0,1770.7,0.0,0.0,0.0,0.0,2100000.0
Crops and livestock products,Cameroon,Maize (corn),112.0,2022,1300000.0,1692.3,0.0,0.0,0.0,0.0,2200000.0
Crops and livestock products,Cameroon,Maize (corn),112.0,2023,1200000.0,1833.3,0.0,0.0,0.0,0.0,2200000.0
Crops and livestock products,Cameroon,"Mangoes, guavas and mangosteens",1316.0,2019,153.0,5777.5,0.0,0.0,0.0,0.0,885.51
Crops and livestock products,Cameroon,"Mangoes, guavas and mangosteens",1316.0,2020,151.0,5892.6,0.0,0.0,0.0,0.0,890.52
Crops and livestock products,Cameroon,"Mangoes, guavas and mangosteens",1316.0,2021,152.0,5893.3,0.0,0.0,0.0,0.0,893.43
Crops and livestock products,Cameroon,"Mangoes, guavas and mangosteens",1316.0,2022,152.0,5854.1,0.0,0.0,0.0,0.0,889.82
Crops and livestock products,Cameroon,"Mangoes, guavas and mangosteens",1316.0,2023,152.0,5880.0,0.0,0.0,0.0,0.0,891.26
Crops and livestock products,Cameroon,"Meat of cattle with the bone, fresh or chilled",21111.01,2019,0.0,0.0,810237.0,0.0,1321.0,0.0,107000.0
Crops and livestock products,Cameroon,"Meat of cattle with the bone, fresh or chilled",21111.01,2020,0.0,0.0,803146.0,0.0,1370.0,0.0,110006.0
Crops and livestock products,Cameroon,"Meat of cattle with the bone, fresh or chilled",21111.01,2021,0.0,0.0,801786.0,0.0,1440.0,0.0,115417.68
Crops and livestock products,Cameroon,"Meat of cattle with the bone, fresh or chilled",21111.01,2022,0.0,0.0,809257.0,0.0,1476.0,0.0,119474.42
Crops and livestock products,Cameroon,"Meat of cattle with the bone, fresh or chilled",21111.01,2023,0.0,0.0,816762.0,0.0,1480.0,0.0,120841.82
Crops and livestock products,Cameroon,"Meat of chickens, fresh or chilled",21121.0,2019,0.0,0.0,84941.0,0.0,12126.0,0.0,103002.0
Crops and livestock products,Cameroon,"Meat of chickens, fresh or chilled",21121.0,2020,0.0,0.0,38000.0,0.0,11579.0,0.0,43999.0
Crops and livestock products,Cameroon,"Meat of chickens, fresh or chilled",21121.0,2021,0.0,0.0,95235.0,0.0,10984.0,0.0,104601.78
Crops and livestock products,Cameroon,"Meat of chickens, fresh or chilled",21121.0,2022,0.0,0.0,104117.0,0.0,12210.0,0.0,127126.07
Crops and livestock products,Cameroon,"Meat of chickens, fresh or chilled",21121.0,2023,0.0,0.0,94236.0,0.0,12506.0,0.0,117851.96
Crops and livestock products,Cameroon,"Meat of goat, fresh or chilled",21116.0,2019,0.0,0.0,2291181.0,0.0,109.0,0.0,25000.0
Crops and livestock products,Cameroon,"Meat of goat, fresh or chilled",21116.0,2020,0.0,0.0,2304321.0,0.0,113.0,0.0,26000.0
Crops and livestock products,Cameroon,"Meat of goat, fresh or chilled",21116.0,2021,0.0,0.0,2303048.0,0.0,117.0,0.0,26858.67
Crops and livestock products,Cameroon,"Meat of goat, fresh or chilled",21116.0,2022,0.0,0.0,2296006.0,0.0,117.0,0.0,26870.74
Crops and livestock products,Cameroon,"Meat of goat, fresh or chilled",21116.0,2023,0.0,0.0,2298824.0,0.0,118.0,0.0,27208.19
Crops and livestock products,Cameroon,"Meat of pig with the bone, fresh or chilled",21113.01,2019,0.0,0.0,1405071.0,0.0,307.0,0.0,43103.0
Crops and livestock products,Cameroon,"Meat of pig with the bone, fresh or chilled",21113.01,2020,0.0,0.0,1452246.0,0.0,290.0,0.0,42067.0
Crops and livestock products,Cameroon,"Meat of pig with the bone, fresh or chilled",21113.01,2021,0.0,0.0,1473252.0,0.0,306.0,0.0,45111.73
Crops and livestock products,Cameroon,"Meat of pig with the bone, fresh or chilled",21113.01,2022,0.0,0.0,1510995.0,0.0,324.0,0.0,49022.31
Crops and livestock products,Cameroon,"Meat of pig with the bone, fresh or chilled",21113.01,2023,0.0,0.0,1478154.0,0.0,339.0,0.0,50155.2
Crops and livestock products,Cameroon,"Meat of rabbits and hares, fresh or chilled",21114.0,2019,0.0,0.0,96.0,0.0,10000.0,0.0,96.36
Crops and livestock products,Cameroon,"Meat of rabbits and hares, fresh or chilled",21114.0,2020,0.0,0.0,96.0,0.0,10000.0,0.0,96.12
Crops and livestock products,Cameroon,"Meat of rabbits and hares, fresh or chilled",21114.0,2021,0.0,0.0,96.0,0.0,10000.0,0.0,96.0
Crops and livestock products,Cameroon,"Meat of rabbits and hares, fresh or chilled",21114.0,2022,0.0,0.0,96.0,0.0,10000.0,0.0,96.02
Crops and livestock products,Cameroon,"Meat of rabbits and hares, fresh or chilled",21114.0,2023,0.0,0.0,96.0,0.0,10000.0,0.0,96.05
Crops and livestock products,Cameroon,"Meat of sheep, fresh or chilled",21115.0,2019,0.0,0.0,1332947.0,0.0,135.0,0.0,18000.0
Crops and livestock products,Cameroon,"Meat of sheep, fresh or chilled",21115.0,2020,0.0,0.0,1426495.0,0.0,119.0,0.0,17000.0
Crops and livestock products,Cameroon,"Meat of sheep, fresh or chilled",21115.0,2021,0.0,0.0,1433176.0,0.0,114.0,0.0,16361.75
Crops and livestock products,Cameroon,"Meat of sheep, fresh or chilled",21115.0,2022,0.0,0.0,1442800.0,0.0,115.0,0.0,16626.15
Crops and livestock products,Cameroon,"Meat of sheep, fresh or chilled",21115.0,2023,0.0,0.0,1459797.0,0.0,117.0,0.0,17022.17
Crops and livestock products,Cameroon,Melonseed,1449.01,2019,124838.0,386.3,0.0,0.0,0.0,0.0,48230.51
Crops and livestock products,Cameroon,Melonseed,1449.01,2020,126413.0,373.8,0.0,0.0,0.0,0.0,47250.54
Crops and livestock products,Cameroon,Melonseed,1449.01,2021,126799.0,369.1,0.0,0.0,0.0,0.0,46805.92
Crops and livestock products,Cameroon,Melonseed,1449.01,2022,126016.0,368.7,0.0,0.0,0.0,0.0,46468.5
Crops and livestock products,Cameroon,Melonseed,1449.01,2023,126409.0,364.9,0.0,0.0,0.0,0.0,46131.08
Crops and livestock products,Cameroon,Millet,118.0,2019,72000.0,1388.9,0.0,0.0,0.0,0.0,100000.0
Crops and livestock products,Cameroon,Millet,118.0,2020,72000.0,1388.9,0.0,0.0,0.0,0.0,100000.0
Crops and livestock products,Cameroon,Millet,118.0,2021,72000.0,1388.9,0.0,0.0,0.0,0.0,100000.0
Crops and livestock products,Cameroon,Millet,118.0,2022,72000.0,1388.9,0.0,0.0,0.0,0.0,100000.0
Crops and livestock products,Cameroon,Millet,118.0,2023,72000.0,1388.9,0.0,0.0,0.0,0.0,100000.0
Crops and livestock products,Cameroon,Molasses,23540.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,40000.0
Crops and livestock products,Cameroon,Molasses,23540.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,41000.0
Crops and livestock products,Cameroon,Molasses,23540.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,31914.89
Crops and livestock products,Cameroon,Molasses,23540.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,26254.26
Crops and livestock products,Cameroon,Natural honey,2910.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,4553.61
Crops and livestock products,Cameroon,Natural honey,2910.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,4666.25
Crops and livestock products,Cameroon,Natural honey,2910.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,4648.79
Crops and livestock products,Cameroon,Natural honey,2910.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,4684.13
Crops and livestock products,Cameroon,Natural honey,2910.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,4654.45
Crops and livestock products,Cameroon,Natural rubber in primary forms,1950.01,2019,53773.0,887.1,0.0,0.0,0.0,0.0,47700.0
Crops and livestock products,Cameroon,Natural rubber in primary forms,1950.01,2020,54496.0,864.3,0.0,0.0,0.0,0.0,47100.0
Crops and livestock products,Cameroon,Natural rubber in primary forms,1950.01,2021,58378.0,827.4,0.0,0.0,0.0,0.0,48300.0
Crops and livestock products,Cameroon,Natural rubber in primary forms,1950.01,2022,62512.0,807.8,0.0,0.0,0.0,0.0,50500.0
Crops and livestock products,Cameroon,Natural rubber in primary forms,1950.01,2023,66928.0,791.9,0.0,0.0,0.0,0.0,53000.0
Crops and livestock products,Cameroon,Oil of palm kernel,21691.14,2019,0.0,0.0,0.0,0.0,0.0,0.0,32600.0
Crops and livestock products,Cameroon,Oil of palm kernel,21691.14,2020,0.0,0.0,0.0,0.0,0.0,0.0,31500.0
Crops and livestock products,Cameroon,Oil of palm kernel,21691.14,2021,0.0,0.0,0.0,0.0,0.0,0.0,34900.0
Crops and livestock products,Cameroon,Oil of palm kernel,21691.14,2022,0.0,0.0,0.0,0.0,0.0,0.0,36500.0
Crops and livestock products,Cameroon,Oil palm fruit,1491.01,2019,197150.0,12173.5,0.0,0.0,0.0,0.0,2400000.0
Crops and livestock products,Cameroon,Oil palm fruit,1491.01,2020,261483.0,11473.0,0.0,0.0,0.0,0.0,3000000.0
Crops and livestock products,Cameroon,Oil palm fruit,1491.01,2021,265210.0,10838.7,0.0,0.0,0.0,0.0,2874529.35
Crops and livestock products,Cameroon,Oil palm fruit,1491.01,2022,216630.0,13076.9,0.0,0.0,0.0,0.0,2832858.96
Crops and livestock products,Cameroon,Oil palm fruit,1491.01,2023,220185.0,13076.9,0.0,0.0,0.0,0.0,2879347.68
Crops and livestock products,Cameroon,Okra,1239.01,2019,30634.0,2427.3,0.0,0.0,0.0,0.0,74358.56
Crops and livestock products,Cameroon,Okra,1239.01,2020,30578.0,2383.8,0.0,0.0,0.0,0.0,72890.41
Crops and livestock products,Cameroon,Okra,1239.01,2021,30831.0,2405.6,0.0,0.0,0.0,0.0,74167.21
Crops and livestock products,Cameroon,Okra,1239.01,2022,30930.0,2386.2,0.0,0.0,0.0,0.0,73805.39
Crops and livestock products,Cameroon,Okra,1239.01,2023,31027.0,2372.8,0.0,0.0,0.0,0.0,73621.0
Crops and livestock products,Cameroon,"Onions and shallots, dry (excluding dehydrated)",1253.02,2019,33987.0,9566.8,0.0,0.0,0.0,0.0,325142.66
Crops and livestock products,Cameroon,"Onions and shallots, dry (excluding dehydrated)",1253.02,2020,30424.0,11130.6,0.0,0.0,0.0,0.0,338634.66
Crops and livestock products,Cameroon,"Onions and shallots, dry (excluding dehydrated)",1253.02,2021,29908.0,11724.9,0.0,0.0,0.0,0.0,350661.56
Crops and livestock products,Cameroon,"Onions and shallots, dry (excluding dehydrated)",1253.02,2022,37255.0,10333.5,0.0,0.0,0.0,0.0,384980.27
Crops and livestock products,Cameroon,"Onions and shallots, dry (excluding dehydrated)",1253.02,2023,37417.0,9668.0,0.0,0.0,0.0,0.0,361744.81
Crops and livestock products,Cameroon,"Other beans, green",1241.9,2019,748.0,5613.3,0.0,0.0,0.0,0.0,4197.76
Crops and livestock products,Cameroon,"Other beans, green",1241.9,2020,757.0,5557.1,0.0,0.0,0.0,0.0,4208.25
Crops and livestock products,Cameroon,"Other beans, green",1241.9,2021,754.0,5574.7,0.0,0.0,0.0,0.0,4202.07
Crops and livestock products,Cameroon,"Other beans, green",1241.9,2022,753.0,5581.6,0.0,0.0,0.0,0.0,4202.69
Crops and livestock products,Cameroon,"Other beans, green",1241.9,2023,755.0,5571.1,0.0,0.0,0.0,0.0,4204.34
Crops and livestock products,Cameroon,"Other citrus fruit, n.e.c.",1329.0,2019,7.0,11039.2,0.0,0.0,0.0,0.0,76.17
Crops and livestock products,Cameroon,"Other citrus fruit, n.e.c.",1329.0,2020,7.0,11202.2,0.0,0.0,0.0,0.0,79.54
Crops and livestock products,Cameroon,"Other citrus fruit, n.e.c.",1329.0,2021,7.0,11023.3,0.0,0.0,0.0,0.0,80.47
Crops and livestock products,Cameroon,"Other citrus fruit, n.e.c.",1329.0,2022,8.0,10980.5,0.0,0.0,0.0,0.0,82.35
Crops and livestock products,Cameroon,"Other citrus fruit, n.e.c.",1329.0,2023,8.0,10939.9,0.0,0.0,0.0,0.0,84.24
Crops and livestock products,Cameroon,"Other fruits, n.e.c.",1359.9,2019,23500.0,6281.0,0.0,0.0,0.0,0.0,147605.59
Crops and livestock products,Cameroon,"Other fruits, n.e.c.",1359.9,2020,23804.0,6356.2,0.0,0.0,0.0,0.0,151303.59
Crops and livestock products,Cameroon,"Other fruits, n.e.c.",1359.9,2021,23646.0,6398.1,0.0,0.0,0.0,0.0,151286.41
Crops and livestock products,Cameroon,"Other fruits, n.e.c.",1359.9,2022,23609.0,6433.8,0.0,0.0,0.0,0.0,151896.77
Crops and livestock products,Cameroon,"Other fruits, n.e.c.",1359.9,2023,23578.0,6469.5,0.0,0.0,0.0,0.0,152535.88
Crops and livestock products,Cameroon,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1379.9,2019,751.0,1000.2,0.0,0.0,0.0,0.0,750.67
Crops and livestock products,Cameroon,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1379.9,2020,768.0,1000.2,0.0,0.0,0.0,0.0,768.02
Crops and livestock products,Cameroon,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1379.9,2021,760.0,1000.2,0.0,0.0,0.0,0.0,759.73
Crops and livestock products,Cameroon,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1379.9,2022,759.0,1000.2,0.0,0.0,0.0,0.0,759.47
Crops and livestock products,Cameroon,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1379.9,2023,762.0,1000.2,0.0,0.0,0.0,0.0,762.41
Crops and livestock products,Cameroon,"Other oil seeds, n.e.c.",1449.9,2019,117.0,1272.0,0.0,0.0,0.0,0.0,148.28
Crops and livestock products,Cameroon,"Other oil seeds, n.e.c.",1449.9,2020,112.0,1268.4,0.0,0.0,0.0,0.0,141.71
Crops and livestock products,Cameroon,"Other oil seeds, n.e.c.",1449.9,2021,116.0,1176.6,0.0,0.0,0.0,0.0,137.07
Crops and livestock products,Cameroon,"Other oil seeds, n.e.c.",1449.9,2022,115.0,1238.6,0.0,0.0,0.0,0.0,142.35
Crops and livestock products,Cameroon,"Other oil seeds, n.e.c.",1449.9,2023,114.0,1227.2,0.0,0.0,0.0,0.0,140.38
Crops and livestock products,Cameroon,Other pulses n.e.c.,1709.9,2019,2733.0,1236.2,0.0,0.0,0.0,0.0,3378.34
Crops and livestock products,Cameroon,Other pulses n.e.c.,1709.9,2020,2704.0,1261.0,0.0,0.0,0.0,0.0,3410.14
Crops and livestock products,Cameroon,Other pulses n.e.c.,1709.9,2021,2739.0,1247.7,0.0,0.0,0.0,0.0,3417.43
Crops and livestock products,Cameroon,Other pulses n.e.c.,1709.9,2022,2725.0,1260.2,0.0,0.0,0.0,0.0,3434.53
Crops and livestock products,Cameroon,Other pulses n.e.c.,1709.9,2023,2723.0,1267.6,0.0,0.0,0.0,0.0,3451.62
Crops and livestock products,Cameroon,Other stone fruits,1349.2,2019,1447.0,4881.6,0.0,0.0,0.0,0.0,7065.87
Crops and livestock products,Cameroon,Other stone fruits,1349.2,2020,1465.0,4861.2,0.0,0.0,0.0,0.0,7120.9
Crops and livestock products,Cameroon,Other stone fruits,1349.2,2021,1470.0,4822.9,0.0,0.0,0.0,0.0,7089.6
Crops and livestock products,Cameroon,Other stone fruits,1349.2,2022,1461.0,4855.1,0.0,0.0,0.0,0.0,7092.12
Crops and livestock products,Cameroon,Other stone fruits,1349.2,2023,1465.0,4846.4,0.0,0.0,0.0,0.0,7100.87
Crops and livestock products,Cameroon,"Other vegetables, fresh n.e.c.",1290.9,2019,71932.0,11350.1,0.0,0.0,0.0,0.0,816440.05
Crops and livestock products,Cameroon,"Other vegetables, fresh n.e.c.",1290.9,2020,71749.0,11640.6,0.0,0.0,0.0,0.0,835202.0
Crops and livestock products,Cameroon,"Other vegetables, fresh n.e.c.",1290.9,2021,70204.0,11831.8,0.0,0.0,0.0,0.0,830633.38
Crops and livestock products,Cameroon,"Other vegetables, fresh n.e.c.",1290.9,2022,69789.0,11991.3,0.0,0.0,0.0,0.0,836864.68
Crops and livestock products,Cameroon,"Other vegetables, fresh n.e.c.",1290.9,2023,69386.0,12023.2,0.0,0.0,0.0,0.0,834233.35
Crops and livestock products,Cameroon,Palm kernels,1491.02,2019,0.0,0.0,0.0,0.0,0.0,0.0,73000.0
Crops and livestock products,Cameroon,Palm kernels,1491.02,2020,0.0,0.0,0.0,0.0,0.0,0.0,80000.0
Crops and livestock products,Cameroon,Palm kernels,1491.02,2021,0.0,0.0,0.0,0.0,0.0,0.0,84000.0
Crops and livestock products,Cameroon,Palm kernels,1491.02,2022,0.0,0.0,0.0,0.0,0.0,0.0,88000.0
Crops and livestock products,Cameroon,Palm oil,2165.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,336466.0
Crops and livestock products,Cameroon,Palm oil,2165.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,373463.0
Crops and livestock products,Cameroon,Palm oil,2165.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,310000.0
Crops and livestock products,Cameroon,Palm oil,2165.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,330000.0
Crops and livestock products,Cameroon,Papayas,1317.0,2019,3.0,15260.7,0.0,0.0,0.0,0.0,45.78
Crops and livestock products,Cameroon,Papayas,1317.0,2020,3.0,15499.0,0.0,0.0,0.0,0.0,46.5
Crops and livestock products,Cameroon,Papayas,1317.0,2021,3.0,15310.1,0.0,0.0,0.0,0.0,47.46
Crops and livestock products,Cameroon,Papayas,1317.0,2022,3.0,15622.1,0.0,0.0,0.0,0.0,48.43
Crops and livestock products,Cameroon,Papayas,1317.0,2023,3.0,15931.6,0.0,0.0,0.0,0.0,49.39
Crops and livestock products,Cameroon,Peaches and nectarines,1345.0,2019,155.0,6623.8,0.0,0.0,0.0,0.0,1029.01
Crops and livestock products,Cameroon,Peaches and nectarines,1345.0,2020,155.0,6517.8,0.0,0.0,0.0,0.0,1008.35
Crops and livestock products,Cameroon,Peaches and nectarines,1345.0,2021,155.0,6556.5,0.0,0.0,0.0,0.0,1014.43
Crops and livestock products,Cameroon,Peaches and nectarines,1345.0,2022,155.0,6566.1,0.0,0.0,0.0,0.0,1017.26
Crops and livestock products,Cameroon,Peaches and nectarines,1345.0,2023,155.0,6546.8,0.0,0.0,0.0,0.0,1013.35
Crops and livestock products,Cameroon,"Pepper (Piper spp.), raw",1651.0,2019,276.0,352.2,0.0,0.0,0.0,0.0,97.1
