Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,10632.05
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,10574.54
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,10544.72
Crops and livestock products,Afghanistan,"Cheese from milk of goats, fresh or processed",22254.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,10648.14
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,10142.79
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,12279.84
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,9845.19
Crops and livestock products,Afghanistan,"Cheese from milk of sheep, fresh or processed",22253.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,9736.19
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2019,0.0,0.0,0.0,0.0,0.0,0.0,24167.0
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2020,0.0,0.0,0.0,0.0,0.0,0.0,24385.0
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2021,0.0,0.0,0.0,0.0,0.0,0.0,25691.0
Crops and livestock products,Afghanistan,"Cotton lint, ginned",1921.02,2022,0.0,0.0,0.0,0.0,0.0,0.0,23950.0
Crops and livestock products,Afghanistan,Cotton seed,143.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,47527.6
Crops and livestock products,Afghanistan,Cotton seed,143.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,48139.91
Crops and livestock products,Afghanistan,Cotton seed,143.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,50500.0
Crops and livestock products,Afghanistan,Cotton seed,143.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,47785.09
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,8247.33
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,8349.08
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,8743.15
Crops and livestock products,Afghanistan,Cottonseed oil,2168.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,8290.89
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2019,0.0,0.0,625556.0,0.0,0.0,0.0,15618.19
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2020,0.0,0.0,607512.0,0.0,0.0,0.0,15551.05
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2021,0.0,0.0,571619.0,0.0,0.0,0.0,14350.88
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2022,0.0,0.0,532738.0,0.0,0.0,0.0,13438.07
Crops and livestock products,Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",21151.0,2023,0.0,0.0,492797.0,0.0,0.0,0.0,12516.46
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2019,0.0,0.0,3567060.0,0.0,0.0,0.0,8992.37
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2020,0.0,0.0,3616042.0,0.0,0.0,0.0,9116.41
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2021,0.0,0.0,3596620.0,0.0,0.0,0.0,9067.81
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2022,0.0,0.0,3619703.0,0.0,0.0,0.0,9126.15
Crops and livestock products,Afghanistan,"Edible offal of goat, fresh, chilled or frozen",21156.0,2023,0.0,0.0,3642792.0,0.0,0.0,0.0,9184.52
Crops and livestock products,Afghanistan,"Edible offal of sheep, fresh, chilled or frozen",21155.0,2019,0.0,0.0,7000000.0,0.0,0.0,0.0,22639.66
Crops and livestock products,Afghanistan,"Edible offal of sheep, fresh, chilled or frozen",21155.0,2020,0.0,0.0,6760862.0,0.0,0.0,0.0,22458.33
Crops and livestock products,Afghanistan,"Edible offal of sheep, fresh, chilled or frozen",21155.0,2021,0.0,0.0,6800000.0,0.0,0.0,0.0,21437.5
Crops and livestock products,Afghanistan,"Edible offal of sheep, fresh, chilled or frozen",21155.0,2022,0.0,0.0,6700000.0,0.0,0.0,0.0,20825.0
Crops and livestock products,Afghanistan,"Edible offal of sheep, fresh, chilled or frozen",21155.0,2023,0.0,0.0,6461548.0,0.0,0.0,0.0,20578.54
Crops and livestock products,Afghanistan,"Edible offals of camels and other camelids, fresh, chilled or frozen",21159.02,2019,0.0,0.0,20230.0,0.0,0.0,0.0,546.21
Crops and livestock products,Afghanistan,"Edible offals of camels and other camelids, fresh, chilled or frozen",21159.02,2020,0.0,0.0,20266.0,0.0,0.0,0.0,547.19
Crops and livestock products,Afghanistan,"Edible offals of camels and other camelids, fresh, chilled or frozen",21159.02,2021,0.0,0.0,20366.0,0.0,0.0,0.0,549.87
Crops and livestock products,Afghanistan,"Edible offals of camels and other camelids, fresh, chilled or frozen",21159.02,2022,0.0,0.0,20401.0,0.0,0.0,0.0,550.83
Crops and livestock products,Afghanistan,"Edible offals of camels and other camelids, fresh, chilled or frozen",21159.02,2023,0.0,0.0,20435.0,0.0,0.0,0.0,551.76
Crops and livestock products,Afghanistan,Fat of camels,21519.02,2019,0.0,0.0,20230.0,0.0,0.0,0.0,254.9
Crops and livestock products,Afghanistan,Fat of camels,21519.02,2020,0.0,0.0,20266.0,0.0,0.0,0.0,255.36
Crops and livestock products,Afghanistan,Fat of camels,21519.02,2021,0.0,0.0,20366.0,0.0,0.0,0.0,256.61
Crops and livestock products,Afghanistan,Fat of camels,21519.02,2022,0.0,0.0,20401.0,0.0,0.0,0.0,257.05
Crops and livestock products,Afghanistan,Fat of camels,21519.02,2023,0.0,0.0,20435.0,0.0,0.0,0.0,257.49
Crops and livestock products,Afghanistan,Figs,1315.0,2019,3529.0,6891.2,0.0,0.0,0.0,0.0,24319.0
Crops and livestock products,Afghanistan,Figs,1315.0,2020,3219.0,4968.6,0.0,0.0,0.0,0.0,15994.0
Crops and livestock products,Afghanistan,Figs,1315.0,2021,10077.0,5929.9,0.0,0.0,0.0,0.0,59755.66
Crops and livestock products,Afghanistan,Figs,1315.0,2022,9787.0,5929.9,0.0,0.0,0.0,0.0,58035.99
Crops and livestock products,Afghanistan,Figs,1315.0,2023,10228.0,5929.9,0.0,0.0,0.0,0.0,60651.09
Crops and livestock products,Afghanistan,"Game meat, fresh, chilled or frozen",21170.02,2019,0.0,0.0,0.0,0.0,0.0,0.0,7994.63
Crops and livestock products,Afghanistan,"Game meat, fresh, chilled or frozen",21170.02,2020,0.0,0.0,0.0,0.0,0.0,0.0,7999.95
Crops and livestock products,Afghanistan,"Game meat, fresh, chilled or frozen",21170.02,2021,0.0,0.0,0.0,0.0,0.0,0.0,8004.5
Crops and livestock products,Afghanistan,"Game meat, fresh, chilled or frozen",21170.02,2022,0.0,0.0,0.0,0.0,0.0,0.0,8007.69
Crops and livestock products,Afghanistan,"Game meat, fresh, chilled or frozen",21170.02,2023,0.0,0.0,0.0,0.0,0.0,0.0,8010.88
Crops and livestock products,Afghanistan,"Goat fat, unrendered",21515.0,2019,0.0,0.0,3567060.0,0.0,0.0,0.0,1703.82
Crops and livestock products,Afghanistan,"Goat fat, unrendered",21515.0,2020,0.0,0.0,3616042.0,0.0,0.0,0.0,1727.32
Crops and livestock products,Afghanistan,"Goat fat, unrendered",21515.0,2021,0.0,0.0,3596620.0,0.0,0.0,0.0,1718.11
Crops and livestock products,Afghanistan,"Goat fat, unrendered",21515.0,2022,0.0,0.0,3619703.0,0.0,0.0,0.0,1729.17
Crops and livestock products,Afghanistan,"Goat fat, unrendered",21515.0,2023,0.0,0.0,3642792.0,0.0,0.0,0.0,1740.22
Crops and livestock products,Afghanistan,Grapes,0.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,1112927.0
Crops and livestock products,Afghanistan,Grapes,1330.0,2020,92584.0,10729.5,0.0,0.0,0.0,0.0,993382.0
Crops and livestock products,Afghanistan,Grapes,1330.0,2021,92645.0,0.0,0.0,0.0,0.0,0.0,993884.0
Crops and livestock products,Afghanistan,Grapes,1330.0,2022,92600.0,9825.0,0.0,0.0,0.0,0.0,909792.0
Crops and livestock products,Afghanistan,Grapes,1330.0,2023,93000.0,11677.4,0.0,0.0,0.0,0.0,1086000.0
Crops and livestock products,Afghanistan,"Hen eggs in shell, fresh",231.0,2019,0.0,21205.0,0.0,9823.0,0.0,0.0,436535.42
Crops and livestock products,Afghanistan,"Hen eggs in shell, fresh",231.0,2020,0.0,21190.0,0.0,9960.0,0.0,0.0,442340.87
Crops and livestock products,Afghanistan,"Hen eggs in shell, fresh",231.0,2021,0.0,21165.0,0.0,10142.0,0.0,0.0,449853.62
Crops and livestock products,Afghanistan,"Hen eggs in shell, fresh",231.0,2022,0.0,21182.0,0.0,10148.0,0.0,0.0,450511.97
Crops and livestock products,Afghanistan,"Hen eggs in shell, fresh",231.0,2023,0.0,21169.0,0.0,10282.0,0.0,0.0,456195.6
Crops and livestock products,Afghanistan,Linseed,1441.0,2019,38323.0,0.0,0.0,0.0,0.0,0.0,55000.0
Crops and livestock products,Afghanistan,Linseed,1441.0,2020,31089.0,1100.6,0.0,0.0,0.0,0.0,34216.0
Crops and livestock products,Afghanistan,Linseed,1441.0,2021,31329.0,994.8,0.0,0.0,0.0,0.0,31165.0
Crops and livestock products,Afghanistan,Linseed,1441.0,2022,31605.0,904.3,0.0,0.0,0.0,0.0,28579.0
Crops and livestock products,Afghanistan,Linseed,1441.0,2023,35000.0,828.6,0.0,0.0,0.0,0.0,29000.0
Crops and livestock products,Afghanistan,Maize (corn),112.0,2019,94910.0,1945.7,0.0,0.0,0.0,0.0,184671.0
Crops and livestock products,Afghanistan,Maize (corn),112.0,2020,140498.0,1934.4,0.0,0.0,0.0,0.0,271776.0
Crops and livestock products,Afghanistan,Maize (corn),112.0,2021,139080.0,1900.4,0.0,0.0,0.0,0.0,264314.0
Crops and livestock products,Afghanistan,Maize (corn),112.0,2022,139000.0,2237.4,0.0,0.0,0.0,0.0,311000.0
